,name,time,lon,lat,geo,lc,lc_new,gst-l1_fn,lst_era,gst1,XGB,Satellite,ERA5L-GST,ERA5L-LST,resolution
0,AU-ASM,2010-09-04,133.249,-22.283,au,CSH,Low-veg.,17.137021276595753,15.617249,16.914795,22.35669,20.61428658621654,16.914795,15.617249,daily
1,AU-ASM,2010-09-05,133.249,-22.283,au,CSH,Low-veg.,16.775744680851062,16.008453,16.91687,21.736187,20.40775731923631,16.91687,16.008453,daily
2,AU-ASM,2010-09-06,133.249,-22.283,au,CSH,Low-veg.,16.943191489361702,16.653168,17.267609,21.987843,21.84396445938869,17.267609,16.653168,daily
3,AU-ASM,2010-09-07,133.249,-22.283,au,CSH,Low-veg.,18.90042553191489,20.287384,19.802002,21.104649,23.26571480887279,19.802002,20.287384,daily
4,AU-ASM,2010-09-08,133.249,-22.283,au,CSH,Low-veg.,21.730000000000004,25.850983,24.338501,27.378445,31.01714564732145,24.338501,25.850983,daily
5,AU-ASM,2010-09-09,133.249,-22.283,au,CSH,Low-veg.,24.17531914893617,24.607391,24.549347,25.475365,25.133569771902923,24.549347,24.607391,daily
6,AU-ASM,2010-09-10,133.249,-22.283,au,CSH,Low-veg.,20.724042553191488,20.468506,21.321838,19.6451,16.373391832624186,21.321838,20.468506,daily
7,AU-ASM,2010-09-11,133.249,-22.283,au,CSH,Low-veg.,20.199999999999996,22.65387,22.58487,23.6585,23.00999984741213,22.58487,22.65387,daily
8,AU-ASM,2010-09-12,133.249,-22.283,au,CSH,Low-veg.,20.695957446808507,21.811096,22.263367,23.58463,22.74999923706057,22.263367,21.811096,daily
9,AU-ASM,2010-09-13,133.249,-22.283,au,CSH,Low-veg.,21.727021276595742,24.07132,23.705933,24.210201,22.700001907348653,23.705933,24.07132,daily
10,AU-ASM,2010-09-14,133.249,-22.283,au,CSH,Low-veg.,22.58936170212766,20.446777,21.440826,25.595379,25.5516696294149,21.440826,20.446777,daily
11,AU-ASM,2010-09-15,133.249,-22.283,au,CSH,Low-veg.,19.27702127659574,15.663147,17.555695,24.682667,25.5516696294149,17.555695,15.663147,daily
12,AU-ASM,2010-09-16,133.249,-22.283,au,CSH,Low-veg.,15.756382978723403,10.729797,13.453461,18.626171,16.170836035410588,13.453461,10.729797,daily
13,AU-ASM,2010-09-17,133.249,-22.283,au,CSH,Low-veg.,14.226595744680852,14.897644,15.68515,15.860444,11.825420459111555,15.68515,14.897644,daily
14,AU-ASM,2010-09-18,133.249,-22.283,au,CSH,Low-veg.,14.111914893617021,9.981201,12.21756,12.045777,7.5418088542090755,12.21756,9.981201,daily
15,AU-ASM,2010-09-19,133.249,-22.283,au,CSH,Low-veg.,12.900851063829789,11.693268,13.096466,12.234359,8.19590442710455,13.096466,11.693268,daily
16,AU-ASM,2010-09-20,133.249,-22.283,au,CSH,Low-veg.,14.468936170212762,12.415283,13.591248,18.721718,17.062860107421898,13.591248,12.415283,daily
17,AU-ASM,2010-09-21,133.249,-22.283,au,CSH,Low-veg.,16.028936170212766,14.260162,14.992065,21.650173,21.64040963309154,14.992065,14.260162,daily
